ID,E (GPa),sy1,sy (GPa),n,hm (um),nu,base2,ref,refi,localstringt2D,Wp/Wt,C (GPa),dP/dh (N/m)
292,21.538,0.683477487,0.97,0.17,0.7,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=21.538 sy=0.97 n=0.17 nu=0.2 hm=0.7 base=2D_r0_00b contact_penalty=1e4 prefix=292,,,
293,145.74,5.298021123,26.49,0.17,0.2,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=145.74 sy=26.49 n=0.17 nu=0.2 hm=0.2 base=2D_r0_00 contact_penalty=1e4 prefix=293,,,
294,10,0.3,2,0.17,0.15,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=2 n=0.17 nu=0.2 hm=0.15 base=2D_r0_00 contact_penalty=1e4 prefix=294,,,
295,24.52,0.0368,0.14,0.17,0.25,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=24.52 sy=0.14 n=0.17 nu=0.2 hm=0.25 base=2D_r0_00 contact_penalty=1e4 prefix=295,,,
296,200.94,1.7915,5.11,0.17,0.35,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=200.94 sy=5.11 n=0.17 nu=0.2 hm=0.35 base=2D_r0_05b prefix=296,,,
297,122.03,1.8229,4.05,0.17,0.45,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=122.03 sy=4.05 n=0.17 nu=0.2 hm=0.45 base=2D_r0_05 prefix=297,,,
298,100.81,1.9697,19.69,0.17,0.1,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=100.81 sy=19.69 n=0.17 nu=0.2 hm=0.1 base=2D_r0_05 prefix=298,,,
299,145.74,5.298,17.66,0.17,0.3,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=145.74 sy=17.66 n=0.17 nu=0.2 hm=0.3 base=2D_r0_05 prefix=299,,,
300,10,0.03,0.07,0.33,0.4,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.07 n=0.33 nu=0.2 hm=0.4 base=2D_r0_10b prefix=300,,,
301,10,0.03,0.06,0.33,0.5,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.06 n=0.33 nu=0.2 hm=0.5 base=2D_r0_10 prefix=301,,,
302,10,0.03,0.05,0.33,0.6,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.05 n=0.33 nu=0.2 hm=0.6 base=2D_r0_10 prefix=302,,,
303,10,0.03,0.04,0.33,0.7,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.04 n=0.33 nu=0.2 hm=0.7 base=2D_r0_10 prefix=303,,,
304,10,0.1,0.5,0.33,0.2,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.5 n=0.33 nu=0.2 hm=0.2 base=2D_r0_20b prefix=304,,,
305,10,0.1,0.66,0.33,0.15,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.66 n=0.33 nu=0.2 hm=0.15 base=2D_r0_20 prefix=305,,,
306,10,0.1,0.4,0.33,0.25,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.4 n=0.33 nu=0.2 hm=0.25 base=2D_r0_20 prefix=306,,,
307,10,0.1,0.28,0.33,0.35,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.28 n=0.33 nu=0.2 hm=0.35 base=2D_r0_20 prefix=307,,,
308,10,0.3,0.66,0.33,0.45,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.66 n=0.33 nu=0.2 hm=0.45 base=2D_r0_00b contact_penalty=1e4 prefix=308,,,
309,10,0.3,3,0.33,0.1,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=3 n=0.33 nu=0.2 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=309,,,
310,10,0.3,1,0.33,0.3,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=1 n=0.33 nu=0.2 hm=0.3 base=2D_r0_00b contact_penalty=1e4 prefix=310,,,
311,10,0.3,0.75,0.33,0.4,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.75 n=0.33 nu=0.2 hm=0.4 base=2D_r0_00b contact_penalty=1e4 prefix=311,,,
312,50,0.2,0.4,0.33,0.5,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.4 n=0.33 nu=0.2 hm=0.5 base=2D_r0_05b prefix=312,,,
313,50,0.2,0.33,0.33,0.6,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.33 n=0.33 nu=0.2 hm=0.6 base=2D_r0_05 prefix=313,,,
314,50,0.2,0.28,0.33,0.7,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.28 n=0.33 nu=0.2 hm=0.7 base=2D_r0_05b prefix=314,,,
315,50,0.2,1,0.33,0.2,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=1 n=0.33 nu=0.2 hm=0.2 base=2D_r0_05b prefix=315,,,
316,50,0.6,4,0.33,0.15,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=4 n=0.33 nu=0.2 hm=0.15 base=2D_r0_10b prefix=316,,,
317,50,0.6,2.4,0.33,0.25,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.4 n=0.33 nu=0.2 hm=0.25 base=2D_r0_10 prefix=317,,,
318,50,0.6,1.71,0.33,0.35,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=1.71 n=0.33 nu=0.2 hm=0.35 base=2D_r0_10b prefix=318,,,
319,50,0.6,1.33,0.33,0.45,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=1.33 n=0.33 nu=0.2 hm=0.45 base=2D_r0_10b prefix=319,,,
320,50,1,10,0.33,0.1,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=10 n=0.33 nu=0.2 hm=0.1 base=2D_r0_20b prefix=320,,,
321,50,1,3.33,0.33,0.3,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3.33 n=0.33 nu=0.2 hm=0.3 base=2D_r0_20 prefix=321,,,
322,50,1,2.5,0.33,0.4,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.5 n=0.33 nu=0.2 hm=0.4 base=2D_r0_20b prefix=322,,,
323,50,1,2,0.33,0.5,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2 n=0.33 nu=0.2 hm=0.5 base=2D_r0_20b prefix=323,,,
324,50,2,3.33,0.33,0.6,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3.33 n=0.33 nu=0.2 hm=0.6 base=2D_r0_00b contact_penalty=1e4 prefix=324,,,
325,50,2,2.85,0.33,0.7,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.85 n=0.33 nu=0.2 hm=0.7 base=2D_r0_00b contact_penalty=1e4 prefix=325,,,
326,50,2,10,0.33,0.2,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=10 n=0.33 nu=0.2 hm=0.2 base=2D_r0_00 contact_penalty=1e4 prefix=326,,,
327,50,2,13.33,0.33,0.15,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=13.33 n=0.33 nu=0.2 hm=0.15 base=2D_r0_00 contact_penalty=1e4 prefix=327,,,
328,90,0.5,2,0.33,0.25,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=2 n=0.33 nu=0.2 hm=0.25 base=2D_r0_05b prefix=328,,,
329,90,0.5,1.42,0.33,0.35,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=1.42 n=0.33 nu=0.2 hm=0.35 base=2D_r0_05b prefix=329,,,
330,90,0.5,1.11,0.33,0.45,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=1.11 n=0.33 nu=0.2 hm=0.45 base=2D_r0_05 prefix=330,,,
331,90,0.5,5,0.33,0.1,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=5 n=0.33 nu=0.2 hm=0.1 base=2D_r0_05 prefix=331,,,
332,90,1.5,5,0.33,0.3,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=5 n=0.33 nu=0.2 hm=0.3 base=2D_r0_10b prefix=332,,,
333,90,1.5,3.75,0.33,0.4,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3.75 n=0.33 nu=0.2 hm=0.4 base=2D_r0_10b prefix=333,,,
334,90,1.5,3,0.33,0.5,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3 n=0.33 nu=0.2 hm=0.5 base=2D_r0_10 prefix=334,,,
335,90,1.5,2.5,0.33,0.6,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=2.5 n=0.33 nu=0.2 hm=0.6 base=2D_r0_10 prefix=335,,,
336,90,3,4.28,0.33,0.7,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=4.28 n=0.33 nu=0.2 hm=0.7 base=2D_r0_20b prefix=336,,,
337,90,3,15,0.33,0.2,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=15 n=0.33 nu=0.2 hm=0.2 base=2D_r0_20b prefix=337,,,
338,90,3,20,0.33,0.15,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=20 n=0.33 nu=0.2 hm=0.15 base=2D_r0_20 prefix=338,,,
339,90,3,12,0.33,0.25,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=12 n=0.33 nu=0.2 hm=0.25 base=2D_r0_20 prefix=339,,,
340,130,1,2.85,0.33,0.35,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=2.85 n=0.33 nu=0.2 hm=0.35 base=2D_r0_00b contact_penalty=1e4 prefix=340,,,
341,130,1,2.22,0.33,0.45,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=2.22 n=0.33 nu=0.2 hm=0.45 base=2D_r0_00b contact_penalty=1e4 prefix=341,,,
342,130,1,10,0.33,0.1,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=10 n=0.33 nu=0.2 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=342,,,
343,130,1,3.33,0.33,0.3,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=3.33 n=0.33 nu=0.2 hm=0.3 base=2D_r0_00b contact_penalty=1e4 prefix=343,,,
344,130,2,5,0.33,0.4,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=5 n=0.33 nu=0.2 hm=0.4 base=2D_r0_05b prefix=344,,,
345,130,2,4,0.33,0.5,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=4 n=0.33 nu=0.2 hm=0.5 base=2D_r0_05b prefix=345,,,
346,130,2,3.33,0.33,0.6,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=3.33 n=0.33 nu=0.2 hm=0.6 base=2D_r0_05 prefix=346,,,
347,130,2,2.85,0.33,0.7,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=2.85 n=0.33 nu=0.2 hm=0.7 base=2D_r0_05b prefix=347,,,
348,130,3,15,0.33,0.2,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=15 n=0.33 nu=0.2 hm=0.2 base=2D_r0_10b prefix=348,,,
349,130,3,20,0.33,0.15,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=20 n=0.33 nu=0.2 hm=0.15 base=2D_r0_10b prefix=349,,,
350,130,3,12,0.33,0.25,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=12 n=0.33 nu=0.2 hm=0.25 base=2D_r0_10 prefix=350,,,
351,130,3,8.57,0.33,0.35,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=8.57 n=0.33 nu=0.2 hm=0.35 base=2D_r0_10b prefix=351,,,
352,170,0.3,0.66,0.33,0.45,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=0.66 n=0.33 nu=0.2 hm=0.45 base=2D_r0_20b prefix=352,,,
353,170,0.3,3,0.33,0.1,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3 n=0.33 nu=0.2 hm=0.1 base=2D_r0_20b prefix=353,,,
354,170,0.3,1,0.33,0.3,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=1 n=0.33 nu=0.2 hm=0.3 base=2D_r0_20 prefix=354,,,
355,170,0.3,0.75,0.33,0.4,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=0.75 n=0.33 nu=0.2 hm=0.4 base=2D_r0_20b prefix=355,,,
356,170,1.5,3,0.33,0.5,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3 n=0.33 nu=0.2 hm=0.5 base=2D_r0_00b contact_penalty=1e4 prefix=356,,,
357,170,1.5,2.5,0.33,0.6,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=2.5 n=0.33 nu=0.2 hm=0.6 base=2D_r0_00b contact_penalty=1e4 prefix=357,,,
358,170,1.5,2.14,0.33,0.7,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=2.14 n=0.33 nu=0.2 hm=0.7 base=2D_r0_00b contact_penalty=1e4 prefix=358,,,
359,170,1.5,7.5,0.33,0.2,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=7.5 n=0.33 nu=0.2 hm=0.2 base=2D_r0_00 contact_penalty=1e4 prefix=359,,,
360,170,3,20,0.33,0.15,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=20 n=0.33 nu=0.2 hm=0.15 base=2D_r0_05b prefix=360,,,
361,170,3,12,0.33,0.25,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=12 n=0.33 nu=0.2 hm=0.25 base=2D_r0_05b prefix=361,,,
362,170,3,8.57,0.33,0.35,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=8.57 n=0.33 nu=0.2 hm=0.35 base=2D_r0_05b prefix=362,,,
363,170,3,6.66,0.33,0.45,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=6.66 n=0.33 nu=0.2 hm=0.45 base=2D_r0_05 prefix=363,,,
364,210,0.3,3,0.33,0.1,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3 n=0.33 nu=0.2 hm=0.1 base=2D_r0_10b prefix=364,,,
365,210,0.3,1,0.33,0.3,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=1 n=0.33 nu=0.2 hm=0.3 base=2D_r0_10b prefix=365,,,
366,210,0.3,0.75,0.33,0.4,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=0.75 n=0.33 nu=0.2 hm=0.4 base=2D_r0_10b prefix=366,,,
367,210,0.3,0.6,0.33,0.5,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=0.6 n=0.33 nu=0.2 hm=0.5 base=2D_r0_10 prefix=367,,,
368,210,1.8,3,0.33,0.6,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3 n=0.33 nu=0.2 hm=0.6 base=2D_r0_20b prefix=368,,,
369,210,1.8,2.57,0.33,0.7,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=2.57 n=0.33 nu=0.2 hm=0.7 base=2D_r0_20b prefix=369,,,
370,210,1.8,9,0.33,0.2,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=9 n=0.33 nu=0.2 hm=0.2 base=2D_r0_20b prefix=370,,,
371,210,1.8,12,0.33,0.15,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=12 n=0.33 nu=0.2 hm=0.15 base=2D_r0_20 prefix=371,,,
372,210,3,12,0.33,0.25,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=12 n=0.33 nu=0.2 hm=0.25 base=2D_r0_00 contact_penalty=1e4 prefix=372,,,
373,210,3,8.57,0.33,0.35,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=8.57 n=0.33 nu=0.2 hm=0.35 base=2D_r0_00b contact_penalty=1e4 prefix=373,,,
374,210,3,6.66,0.33,0.45,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=6.66 n=0.33 nu=0.2 hm=0.45 base=2D_r0_00b contact_penalty=1e4 prefix=374,,,
375,210,3,30,0.33,0.1,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=30 n=0.33 nu=0.2 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=375,,,
376,24.518,0.036792082,0.12,0.33,0.3,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=24.518 sy=0.12 n=0.33 nu=0.2 hm=0.3 base=2D_r0_05 prefix=376,,,
377,158.652,0.314353259,0.78,0.33,0.4,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=158.652 sy=0.78 n=0.33 nu=0.2 hm=0.4 base=2D_r0_05b prefix=377,,,
378,23.138,0.08110304,0.16,0.33,0.5,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=23.138 sy=0.16 n=0.33 nu=0.2 hm=0.5 base=2D_r0_05b prefix=378,,,
379,177.128,0.77102177,1.28,0.33,0.6,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=177.128 sy=1.28 n=0.33 nu=0.2 hm=0.6 base=2D_r0_05 prefix=379,,,
380,73.432,0.561384659,0.8,0.33,0.7,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=73.432 sy=0.8 n=0.33 nu=0.2 hm=0.7 base=2D_r0_10 prefix=380,,,
381,83.518,0.698605786,3.49,0.33,0.2,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=83.518 sy=3.49 n=0.33 nu=0.2 hm=0.2 base=2D_r0_10b prefix=381,,,
382,161.724,1.4218142,9.47,0.33,0.15,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=161.724 sy=9.47 n=0.33 nu=0.2 hm=0.15 base=2D_r0_10b prefix=382,,,
383,200.938,1.791465339,7.16,0.33,0.25,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=200.938 sy=7.16 n=0.33 nu=0.2 hm=0.25 base=2D_r0_10 prefix=383,,,
384,125.17298,1.46212455,4.17,0.33,0.35,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=125.17298 sy=4.17 n=0.33 nu=0.2 hm=0.35 base=2D_r0_20 prefix=384,,,
385,168.884,2.388292291,5.3,0.33,0.45,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=168.884 sy=5.3 n=0.33 nu=0.2 hm=0.45 base=2D_r0_20b prefix=385,,,
386,122.034,1.8229105,18.22,0.33,0.1,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=122.034 sy=18.22 n=0.33 nu=0.2 hm=0.1 base=2D_r0_20b prefix=386,,,
387,33.366,0.551258765,1.83,0.33,0.3,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=33.366 sy=1.83 n=0.33 nu=0.2 hm=0.3 base=2D_r0_20 prefix=387,,,
388,76.098,1.273039936,3.18,0.33,0.4,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=76.098 sy=3.18 n=0.33 nu=0.2 hm=0.4 base=2D_r0_00b contact_penalty=1e4 prefix=388,,,
